year,id,age,income,anual_hours,number_children,treatment
1985.0,10021.0,39.0,24229.0,1924.0,2.0,0
1993.0,10021.0,47.0,37574.75,2880.0,1.0,0
1995.0,10021.0,49.0,38518.21,3744.0,0.0,0
1994.0,10021.0,48.0,31399.36,2800.02,0.0,0
1991.0,10021.0,45.0,48483.5,2400.0,1.0,0
1996.0,10021.0,50.0,23282.02,2400.0,0.0,0
1981.0,10021.0,35.0,15744.26,3673.0,2.0,0
1983.0,10021.0,37.0,21157.8,2680.0,2.0,0
1984.0,10021.0,38.0,21505.0,2072.0,2.0,0
1992.0,10021.0,46.0,43937.0,2820.0,1.0,0
1989.0,10021.0,43.0,44175.8,3000.0,1.0,0
1988.0,10021.0,42.0,43407.3,2160.0,1.0,0
1982.0,10021.0,36.0,19439.0,2880.0,2.0,0
1987.0,10021.0,41.0,24055.85,2844.0,1.0,0
1979.0,10021.0,33.0,15642.0,3570.0,3.0,0
1978.0,10021.0,32.0,17215.2,2616.0,3.0,0
1987.0,10172.0,20.0,24055.85,600.0,1.0,0
1989.0,10172.0,22.0,44175.8,2500.0,1.0,0
1991.0,10172.0,24.0,48483.5,2080.0,1.0,0
1978.0,10172.0,11.0,17215.2,0.0,3.0,0
1993.0,10172.0,26.0,37574.75,1906.0,1.0,0
1982.0,10172.0,15.0,19439.0,241.0,2.0,0
1988.0,10172.0,21.0,43407.3,2550.0,1.0,0
1980.0,10172.0,13.0,16977.0,0.0,3.0,0
1986.0,10172.0,19.0,27126.06,390.0,1.0,0
1981.0,10172.0,14.0,15744.26,336.0,2.0,0
1994.0,10172.0,27.0,9178.43,0.0,0.0,0
1985.0,10172.0,18.0,24229.0,365.0,2.0,0
1979.0,10172.0,12.0,15642.0,0.0,3.0,0
1984.0,10172.0,17.0,21505.0,0.0,2.0,0
1992.0,10172.0,25.0,43937.0,2000.0,1.0,0
1983.0,10172.0,16.0,21157.8,0.0,2.0,0
1990.0,10172.0,23.0,45982.0,2600.0,1.0,0
1993.0,10176.0,32.0,14687.5,2040.0,3.0,0
1989.0,10176.0,28.0,12706.6,1952.0,1.0,0
1997.0,10176.0,36.0,19682.39,2346.0,3.0,0
1995.0,10176.0,34.0,29470.41,2295.0,3.0,0
1996.0,10176.0,35.0,16306.51,2085.0,3.0,0
1992.0,10176.0,31.0,17897.44,2290.0,2.0,0
1987.0,10176.0,26.0,11555.55,1704.0,0.0,0
1994.0,10176.0,33.0,26899.54,1410.0,3.0,0
1988.0,10176.0,27.0,12806.5,1712.0,1.0,0
1994.0,10177.0,30.0,22975.46,2254.0,1.0,0
1995.0,10177.0,31.0,17839.41,2350.0,1.0,0
1990.0,10177.0,26.0,33018.0,2496.0,1.0,0
1996.0,10177.0,32.0,18905.97,2710.8,1.0,0
1989.0,10177.0,25.0,20953.8,676.0,0.0,0
1997.0,10177.0,33.0,19352.81,2048.0,1.0,0
1991.0,10177.0,27.0,14887.5,174.0,1.0,0
1997.0,11003.0,44.0,21070.41,2000.0,0.0,0
1992.0,11003.0,39.0,41113.79,2000.0,0.0,0
1995.0,11003.0,42.0,32698.72,2350.0,0.0,0
1988.0,11003.0,35.0,31007.8,2030.0,0.0,0
1987.0,11003.0,34.0,29943.25,2120.0,0.0,0
1993.0,11003.0,40.0,47224.44,2295.0,0.0,0
1984.0,11003.0,31.0,19713.4,1555.0,0.0,0
1983.0,11003.0,30.0,21773.7,2060.0,0.0,0
1985.0,11003.0,32.0,21395.38,1480.0,0.0,0
1994.0,11003.0,41.0,43797.88,2700.0,0.0,0
1989.0,11003.0,36.0,32901.53,2030.0,0.0,0
1990.0,11003.0,37.0,36262.28,1945.0,0.0,0
1982.0,11003.0,29.0,28119.0,1970.0,0.0,0
1980.0,11003.0,27.0,13866.35,1410.0,0.0,0
1981.0,11003.0,28.0,18977.6,2030.0,0.0,0
1978.0,11003.0,25.0,20773.48,0.0,0.0,0
1979.0,11003.0,26.0,15357.77,1680.0,0.0,0
1991.0,11003.0,38.0,39170.25,2025.0,0.0,0
1986.0,11003.0,33.0,23647.9,2005.0,0.0,0
1996.0,11003.0,43.0,24143.69,2160.0,0.0,0
1984.0,13170.0,36.0,37062.1,2510.0,2.0,0
1996.0,13170.0,48.0,68715.95,2150.0,1.0,0
1981.0,13170.0,33.0,12629.62,2245.0,1.0,0
1987.0,13170.0,39.0,38969.0,2079.0,2.0,0
1995.0,13170.0,47.0,76495.01,3420.0,2.0,0
1986.0,13170.0,38.0,34701.2,2160.0,2.0,0
1979.0,13170.0,31.0,20062.36,2305.0,1.0,0
1982.0,13170.0,34.0,21737.7,2124.0,1.0,0
1980.0,13170.0,32.0,16051.0,2070.0,1.0,0
1990.0,13170.0,42.0,52207.2,2360.0,2.0,0
1983.0,13170.0,35.0,24519.0,2220.0,2.0,0
1992.0,13170.0,44.0,58351.9,2100.0,2.0,0
1997.0,13170.0,49.0,82891.45,2150.0,1.0,0
1988.0,13170.0,40.0,37881.8,1835.0,2.0,0
1985.0,13170.0,37.0,35429.0,2034.0,2.0,0
1993.0,13170.0,45.0,66344.25,2209.0,2.0,0
1989.0,13170.0,41.0,38932.7,2236.0,2.0,0
1994.0,13170.0,46.0,93203.65,2101.6,2.0,0
1978.0,13170.0,30.0,17608.49,2777.0,1.0,0
1991.0,13170.0,43.0,55580.55,2100.0,2.0,0
1997.0,14004.0,34.0,47554.74,2043.0,2.0,0
1988.0,14004.0,25.0,21634.78,961.0,2.0,0
1993.0,14004.0,30.0,33287.5,2178.0,2.0,0
1994.0,14004.0,31.0,39032.29,2218.4,2.0,0
1991.0,14004.0,28.0,33009.5,2214.0,2.0,0
1979.0,14004.0,16.0,5369.95,100.0,1.0,0
1984.0,14004.0,21.0,11082.0,2271.0,0.0,0
1981.0,14004.0,18.0,9823.4,91.0,1.0,0
1995.0,14004.0,32.0,40709.97,2712.0,2.0,0
1989.0,14004.0,26.0,28566.78,1964.0,2.0,0
1985.0,14004.0,22.0,21273.0,2806.0,0.0,0
1986.0,14004.0,23.0,22260.2,1863.0,1.0,0
1983.0,14004.0,20.0,12431.7,362.0,0.0,0
